symbol	n	sources	fusion	tumorsuppressor	oncogene
AKT3	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|OncoKB-Annotated|CancerGeneCensus_Tier2|AZ300|NGC_known	FALSE	FALSE	TRUE
ALDH2	2	OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
ALK	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
ALOX12B	4	TS500|MSKCC-IMPACT|MSKCC-HEME|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
AMER1	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
ANK1	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
ANKRD11	2	TS500|MSKCC-IMPACT	FALSE	FALSE	FALSE
APC	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	TRUE
APOB	3	TEMPUS|CancerGeneCensus_Tier2|NGC_other	FALSE	FALSE	FALSE
APOBEC3B	2	CancerGeneCensus_Tier1|NGC_known	FALSE	FALSE	FALSE
AR	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	TRUE
ARAF	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|OncoKB-Annotated|CancerGeneCensus_Tier2|AZ300|NGC_known	FALSE	FALSE	TRUE
ARFRP1	5	PMCC|TS500|FoundationONE|FoundatoinHEME|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
ARG1	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
ARHGAP26	4	FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
ARHGAP35	4	TEMPUS|CancerGeneCensus_Tier2|AZ300|NGC_other	FALSE	FALSE	FALSE
ARHGAP5	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	TRUE
ARHGEF10	2	OncoKB-Annotated|NGC_known	FALSE	TRUE	FALSE
ARHGEF10L	2	OncoKB-Annotated|NGC_known	FALSE	TRUE	FALSE
ARHGEF12	4	FoundatoinHEME|CancerGeneCensus_Tier1|FamilialCancer|NGC_known	TRUE	TRUE	FALSE
ARID1A	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	TRUE	TRUE	FALSE
ARID1B	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
ARID2	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
ARID5B	7	TS500|MSKCC-IMPACT|MSKCC-HEME|TEMPUS|CancerGeneCensus_Tier2|AZ300|NGC_other	FALSE	FALSE	FALSE
ARNT	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
ARTN	1	Cancermine	FALSE	FALSE	TRUE
ASPSCR1	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
ASXL1	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
ASXL2	6	TS500|MSKCC-IMPACT|MSKCC-HEME|OncoKB-Annotated|NGC_known|NGC_other	FALSE	TRUE	FALSE
ATF1	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
ATF2	1	Cancermine	FALSE	TRUE	TRUE
ATF3	1	Cancermine	FALSE	TRUE	TRUE
ATIC	4	FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
ATM	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	FALSE
ATP1A1	2	CancerGeneCensus_Tier1|NGC_known	FALSE	FALSE	FALSE
ATP2B3	2	CancerGeneCensus_Tier1|NGC_known	FALSE	TRUE	FALSE
ATR	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
ATRX	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
AURKA	9	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|Cancermine	FALSE	FALSE	TRUE
AURKB	8	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
AXIN1	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
AXIN2	9	TS500|MSKCC-IMPACT|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
AXL	8	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
B2M	8	TS500|MSKCC-IMPACT|MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|NGC_known|NGC_other	FALSE	TRUE	FALSE
BAP1	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	FALSE
BARD1	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known	FALSE	TRUE	FALSE
BAX	3	CancerGeneCensus_Tier1|FamilialCancer|NGC_known	FALSE	TRUE	FALSE
BAZ1A	2	OncoKB-Annotated|NGC_known	FALSE	TRUE	FALSE
BBC3	4	TS500|MSKCC-IMPACT|CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
BCL10	8	TS500|MSKCC-IMPACT|MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|FamilialCancer|NGC_known	TRUE	TRUE	FALSE
BCL11A	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
BCL11B	6	MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|NGC_known|NGC_other	TRUE	FALSE	FALSE
BCL2	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
BCL2L1	7	PMCC|TS500|MSKCC-IMPACT|FoundationONE|TEMPUS|CancerGeneCensus_Tier2|AZ300	FALSE	FALSE	FALSE
BCL2L11	5	TS500|MSKCC-IMPACT|TEMPUS|CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
BCL2L12	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	TRUE
BCL2L2	5	PMCC|TS500|FoundationONE|FoundatoinHEME|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
BCL3	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
BCL6	10	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|Cancermine	TRUE	FALSE	TRUE
BCL6B	1	Cancermine	FALSE	TRUE	FALSE
BCL7A	4	FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
BCL9	6	FoundatoinHEME|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|Cancermine	TRUE	FALSE	TRUE
BCL9L	2	CancerGeneCensus_Tier1|NGC_known	FALSE	FALSE	FALSE
BCLAF1	4	TEMPUS|OncoKB-Annotated|NGC_known|NGC_other	FALSE	FALSE	FALSE
BCOR	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other	TRUE	TRUE	FALSE
BCORL1	11	PMCC|TS500|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	FALSE	FALSE	FALSE
BCR	11	TS500|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
BECN1	1	Cancermine	FALSE	TRUE	FALSE
BIRC3	8	TS500|MSKCC-IMPACT|MSKCC-HEME|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	TRUE	FALSE	FALSE
BIRC6	2	OncoKB-Annotated|NGC_known	TRUE	FALSE	TRUE
BLM	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known	FALSE	TRUE	FALSE
BMI1	2	CancerGeneCensus_Tier2|Cancermine	FALSE	FALSE	TRUE
BMP5	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
BMPR1A	7	TS500|MSKCC-IMPACT|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known	FALSE	FALSE	FALSE
BRAF	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
BRCA1	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	FALSE
BRCA2	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	FALSE
BRD3	4	CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known	TRUE	FALSE	TRUE
BRD4	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known	TRUE	FALSE	TRUE
BRINP1	1	Cancermine	FALSE	TRUE	FALSE
BRIP1	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known	FALSE	TRUE	FALSE
BRSK1	2	FoundatoinHEME|FamilialCancer	FALSE	FALSE	FALSE
BTG1	10	PMCC|TS500|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other	TRUE	TRUE	FALSE
BTG2	3	FoundatoinHEME|FamilialCancer|NGC_other	FALSE	FALSE	FALSE
BTK	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known	FALSE	FALSE	FALSE
BUB1B	3	TEMPUS|CancerGeneCensus_Tier1|NGC_known	FALSE	TRUE	FALSE
C15orf65	2	OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
C2orf40	1	Cancermine	FALSE	TRUE	FALSE
CACNA1D	2	CancerGeneCensus_Tier1|NGC_known	FALSE	FALSE	TRUE
CADM1	1	Cancermine	FALSE	TRUE	FALSE
CADM2	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
CALR	9	TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|TEMPUS|CancerGeneCensus_Tier1|NGC_known|NGC_other|Cancermine	FALSE	FALSE	TRUE
CAMTA1	5	FoundatoinHEME|CancerGeneCensus_Tier1|FamilialCancer|NGC_known|Cancermine	TRUE	TRUE	FALSE
CANT1	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
CARD11	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	FALSE	TRUE
CARS	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
CASP3	2	OncoKB-Annotated|NGC_known	FALSE	TRUE	FALSE
CASP8	10	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	FALSE	TRUE	FALSE
CASP9	2	OncoKB-Annotated|NGC_known	FALSE	TRUE	FALSE
CBFA2T3	4	FoundatoinHEME|CancerGeneCensus_Tier1|FamilialCancer|NGC_known	TRUE	TRUE	FALSE
CBFB	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	TRUE	TRUE	FALSE
CBL	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	TRUE	FALSE	TRUE
CBLB	3	TEMPUS|CancerGeneCensus_Tier1|NGC_known	FALSE	TRUE	FALSE
CBLC	3	TEMPUS|CancerGeneCensus_Tier1|NGC_known	FALSE	FALSE	FALSE
CCAR1	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
CCDC6	3	TEMPUS|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
CCN6	3	TS500|FoundationONE|FoundatoinHEME	FALSE	FALSE	FALSE
CCNB1IP1	2	CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
CCNC	3	OncoKB-Annotated|FamilialCancer|NGC_known	FALSE	TRUE	FALSE
CCND1	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	TRUE	TRUE	TRUE
CCND2	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known	TRUE	FALSE	TRUE
CCND3	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	TRUE	FALSE	TRUE
CCNE1	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	FALSE	FALSE	TRUE
CCR4	3	OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known	FALSE	FALSE	TRUE
CCR7	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	TRUE
CD19	3	PMCC|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
CD209	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	FALSE
CD22	3	FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
CD274	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|Cancermine	TRUE	TRUE	TRUE
CD276	3	TS500|MSKCC-IMPACT|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
CD28	5	MSKCC-HEME|OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	FALSE	TRUE
CD58	3	MSKCC-HEME|FoundatoinHEME|NGC_other	FALSE	FALSE	FALSE
CD70	3	FoundatoinHEME|TEMPUS|NGC_other	FALSE	FALSE	FALSE
CD74	3	TS500|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
CD79A	10	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	FALSE	FALSE	TRUE
CD79B	11	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	FALSE	TRUE
CDC73	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|Cancermine	FALSE	TRUE	TRUE
CDH1	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	TRUE
CDH10	3	OncoKB-Annotated|NGC_known|NGC_other	FALSE	TRUE	FALSE
CDH11	3	CancerGeneCensus_Tier1|FamilialCancer|NGC_known	TRUE	TRUE	FALSE
CDH17	4	OncoKB-Annotated|FamilialCancer|NGC_known|Cancermine	FALSE	FALSE	TRUE
CDH5	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
CDK12	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
CDK16	1	Cancermine	FALSE	FALSE	TRUE
CDK2	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
CDK4	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	FALSE	FALSE	TRUE
CDK6	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known	TRUE	FALSE	TRUE
CDK8	10	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|AZ300|Cancermine	FALSE	FALSE	TRUE
CDKN1A	12	PMCC|TS500|MSKCC-IMPACT|FoundationONE|TEMPUS|OncoKB-Annotated|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	TRUE
CDKN1B	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	TRUE
CDKN1C	3	TEMPUS|CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
CDKN2A	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	TRUE
CDKN2B	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_other|Cancermine	FALSE	TRUE	TRUE
CDKN2C	14	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other|Cancermine	FALSE	TRUE	FALSE
CDX2	5	FoundatoinHEME|CancerGeneCensus_Tier1|FamilialCancer|NGC_known|Cancermine	TRUE	TRUE	TRUE
CEBPA	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
CENPA	2	TS500|MSKCC-IMPACT	FALSE	FALSE	FALSE
CEP89	2	OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
CFTR	2	TEMPUS|FamilialCancer	FALSE	FALSE	FALSE
CHCHD7	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
CHD2	9	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|OncoKB-Annotated|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	TRUE	FALSE
CHD4	8	PMCC|TS500|FoundationONE|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known|NGC_other	FALSE	FALSE	TRUE
CHD5	1	Cancermine	FALSE	TRUE	FALSE
CHEK1	10	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier2|FamilialCancer|AZ300	FALSE	FALSE	FALSE
CHEK2	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
CHIC2	3	FoundatoinHEME|OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
CHST11	2	OncoKB-Annotated|NGC_known	TRUE	FALSE	TRUE
CHUK	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
CIC	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|FamilialCancer|NGC_known|NGC_other	TRUE	FALSE	FALSE
